Provincia,Localidad,Nombre,Dirección,Horario,Ubicacion
Buenos Aires,San Vicente,San Vicente,Sarmiento 810 (esquina Madero),08.30 a 14.30hs,Ver en mapa
Buenos Aires,Santa Clara del Mar,Santa Clara del Mar,Selva Negra 241 y Santa Mónica,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Santa Teresita,Santa Teresita,Calle 3 Nº 981 e/ 36 y 37,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Suipacha,Suipacha,Combate de San Lorenzo 684 e/ Rivadavia y San Martín,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Tandil,Tandil,Chacabuco 507,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Tapalqué,Tapalqué,25 de Mayo 590,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Tornquist,Tornquist,Sarmiento 53,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Trenque Lauquen,Trenque Lauquen,Julio Argentino Roca 227,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Tres Arroyos,Tres Arroyos,Moreno 443,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Tres de Febrero,Ciudadela,Maldonado 175,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Tres de Febrero,Tres de Febrero,Juan B. Alberdi 4839,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Tres Lomas,Tres Lomas,Juan Bautista Alberdi 555,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Trujui,Trujui,Bernardo Caveri 1415,08.00 a 14.00hs,Ver en mapa
Buenos Aires,Turdera,Turdera,H. Yrigoyen 11585,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Vedia,Vedia,Diagonal Estrada 65,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Verónica,Verónica,Calle 30 e/ 31 y 4Ta,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Villa Bosch,Villa Bosch,Santos Vega 7245 Villa Bosch,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Villa Gesell,Villa Gesell,Av. 3 Nº 875 / 79,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Wilde,Wilde,Av. Fabián Onzari y Juan Cruz Varela,08.30 a 14.30hs,Ver en mapa
Buenos Aires,Zárate,Zárate,Almirante Brown 139,08:00 a 14:00hs,Ver en mapa
CABA,Barracas,Barracas,Av. Regimiento de Patricios 939,08.30 a 14.30hs,Ver en mapa
CABA,Caba,Constitución,Avenida Brasil 1110,08.00 a 18.00hs,Ver en mapa
CABA,Caba,Flores,Av. Eva Perón 3799,08.30 a 14.30hs,Ver en mapa
CABA,Caba,Flores II,Av. Rivadavia 7451,08.30 a 14.30hs,Ver en mapa
CABA,Caba,Floresta,Av. Segurola 1129 / 33,08.30 a 14.30hs,Ver en mapa
CABA,Caba,San Cristóbal,Av. Jujuy 966,08.30 a 14.30hs,Ver en mapa
CABA,Caba,Villa Lugano,Sayos 5654,08.30 a 14.30hs,Ver en mapa
CABA,Caba,Villa Urquiza,Av. Álvarez Thomas 2356,08.30 a 14.30hs,Ver en mapa
CABA,Liniers,Liniers,Francisco de Viedma 6900,08.30 a 14.30hs,Ver en mapa
CABA,Monserrat,Monserrat,México 270,08.30 a 14.30hs,Ver en mapa
CABA,Monserrat,Plaza de Mayo,Paseo Colón 239,08.30 a 14.30hs,Ver en mapa
CABA,Palermo,Pacífico,Av. Santa Fe 5140,08.30 a 14.30hs,Ver en mapa
CABA,Parque Patricios,Parque Patricios,La Rioja 2079,08.30 a 14.30hs,Ver en mapa
CABA,Retiro,Centro,Av. Córdoba 1118,08.30 a 14.30hs,Ver en mapa
CABA,Retiro,Retiro,Ramos Mejía 1358,08.00 a 18.00hs,Ver en mapa
CABA,Villa 31,Padre Mugica,Galpon 2 (Playón Bajo Autopista),08.30 a 14.30hs,Ver en mapa
Catamarca,Belén,Belén,Coronel Daza 69,08.00 a 14.00hs,Ver en mapa
Catamarca,San Fernando del Valle de Catamarca,Catamarca,San Martín 201 y Ayacucho,08.00 a 14.00hs,Ver en mapa
Catamarca,Santa Maria,Santa María,San Martin 232,08.00 a 14.00hs,Ver en mapa
Catamarca,Valle Viejo,Valle Viejo,Av. Presidente Castillo 800,08.00 a 14.00hs,Ver en mapa
Chaco,Castelli,Juan Jose Castelli,Av. Perón 470,06.30 a 12.30hs,Ver en mapa
Chaco,Fontana,Fontana,Moreno 4520,06.30 a 12.30hs,Ver en mapa
Chaco,General San Martín,General San Martín,Av. Alte. Brown y Belgrano,06.30 a 12.30hs,Ver en mapa
Chaco,Las Breñas,Las Breñas,Víctor Mercante 892,06.30 a 12.30hs,Ver en mapa
Chaco,Resistencia,Resistencia,Marcelo T de Alvear 399,06.30 a 12.30hs,Ver en mapa
Chaco,Roque Sáenz Peña,Roque Sáenz Peña,9 de Julio 342,06.30 a 12.30hs,Ver en mapa
Chaco,Villa Angela,Villa Angela,Mitre 264,06.30 a 12.30hs,Ver en mapa
Chubut,Comodoro Rivadavia,Comodoro Rivadavia,San Martín 1543,08.00 a 14.00hs,Ver en mapa
Chubut,Esquel,Esquel,9 de Julio 740,08.00 a 14.00hs,Ver en mapa
Chubut,Puerto Madryn,Puerto Madryn,Hipólito Yrigoyen 567,08.00 a 14.00hs,Ver en mapa
Chubut,Rawson,Rawson,Av. San Martín N° 1.019,08.00 a 14.00hs,Ver en mapa
Chubut,Trelew,Trelew,Pellegrini 461,08.00 a 14.00hs,Ver en mapa
Chubut,Trévelin,Trévelin,Fontana 170,08.00 a 14.00hs,Ver en mapa
Córdoba,Alta Gracia,Alta Gracia,Pte. Perón 1997,08.00 a 14.00hs,Ver en mapa
Córdoba,Bell Ville,Bell Ville,Tucumán 290,08.00 a 14.00hs,Ver en mapa
Córdoba,Carlos Paz,Villa Carlos Paz,Avenida San Martin 580,08.00 a 14.00hs,Ver en mapa
Córdoba,Córdoba,Córdoba,Rivadavia Nº 6 / 8 / 10 PB,08.00 a 14.00hs,Ver en mapa
Córdoba,Córdoba,Córdoba II,Avellaneda 490,08.00 a 14.00hs,Ver en mapa
Córdoba,Cosquín,Cosquín,San Luis 649,08.00 a 14.00hs,Ver en mapa
Córdoba,Cruz del Eje,Cruz del Eje,San Martín 15,08.00 a 14.00hs,Ver en mapa
Córdoba,Dean Funes,Dean Funes,Av. Hipólito Irigoyen 389,08.00 a 14.00hs,Ver en mapa
Córdoba,Huinca Renancó,Huinca Renancó,Suipacha 462,08.00 a 14.00hs,Ver en mapa
Córdoba,Jesús María,Jesús María,Almafuerte 151,08.00 a 14.00hs,Ver en mapa
Córdoba,Laboulaye,Laboulaye,Av. Independencia 678,08.00 a 14.00hs,Ver en mapa
Córdoba,Leones,Leones,Amadeo Bertini 634,08.00 a 14.00hs,Ver en mapa
Córdoba,Río Cuarto,Río Cuarto,Sarmiento y Vélez Sarsfield,08.00 a 14.00hs,Ver en mapa
Córdoba,Río Tercero,Río Tercero,Acuña 317,08.00 a 14.00hs,Ver en mapa
Córdoba,San Francisco,San Francisco,Gerónimo L. de Cabrera 1250,08.00 a 14.00hs,Ver en mapa
Córdoba,Villa Dolores,Villa Dolores,Av. Belgrano 1831,08.00 a 14.00hs,Ver en mapa
Córdoba,Villa El Libertador,Córdoba III,Av. de Mayo 1261,08.00 a 14.00hs,Ver en mapa
Córdoba,Villa María,Villa María,Av. Hipólito Yrigoyen 211,08.00 a 14.00hs,Ver en mapa
Corrientes,Corrientes,Corrientes,Av. Armenia 3850,06.30 a 12.30hs,Ver en mapa
Corrientes,Curuzú Cuatiá,Curuzú Cuatiá,Berón de Astrada 961,06.30 a 12.30hs,Ver en mapa
Corrientes,Gobernador Virasoro,Gobernador Virasoro,Ferre 2836,06.30 a 12.30hs,Ver en mapa
Corrientes,Goya,Goya,José E. Gómez 698,06.30 a 12.30hs,Ver en mapa
Corrientes,Ituzaingó,Ituzaingó,3 de Abril 1571,06.30 a 12.30hs,Ver en mapa
Corrientes,Mercedes,Mercedes,Plácido Martínez 1266,06.30 a 12.30hs,Ver en mapa
Corrientes,Monte Caseros,Monte Caseros,Colón 1640,06.30 a 12.30hs,Ver en mapa
Corrientes,Paso de Los Libres,Paso de Los Libres,Av. Madariaga y Brasil,06.30 a 12.30hs,Ver en mapa
Corrientes,Santo Tomé,Santo Tomé,Av. Perkins Hidalgo 242,06.30 a 12.30hs,Ver en mapa
Entre Rios,Chajarí,Chajarí,Urquiza 1298,08.00 a 14.00hs,Ver en mapa
Entre Rios,Concepción del Uruguay,Concepción del Uruguay,España 51,08.00 a 14.00hs,Ver en mapa
Entre Rios,Concordia,Concordia,H. Yrigoyen 487,08.00 a 14.00hs,Ver en mapa
Entre Rios,Gualeguay,Gualeguay,Segundo Gianello 200,08.00 a 14.00hs,Ver en mapa
Entre Rios,Gualeguaychú,Gualeguaychú,San Martín 1024,08.00 a 14.00hs,Ver en mapa
Entre Rios,La Paz,La Paz,3 de Febrero y 9 de Julio,08.00 a 14.00hs,Ver en mapa
Entre Rios,Paraná,Paraná,España 319,08.00 a 14.00hs,Ver en mapa
Entre Rios,Paraná,Paraná II,Av. Ramírez 1671,08.00 a 14.00hs,Ver en mapa
Entre Rios,Victoria,Victoria,Rocamora 42,08.00 a 14.00hs,Ver en mapa
Entre Rios,Villaguay,Villaguay,L. Herrera 905,08.00 a 14.00hs,Ver en mapa
Formosa,Clorinda,Clorinda,12 de Octubre 888,06.30 a 12.30hs,Ver en mapa
Formosa,Formosa,Formosa,Av. Gutnisky 2538,06.30 a 12.30hs,Ver en mapa
Formosa,Ingeniero Juárez,Ingeniero Juárez,Av. Deguen e/ Fernando Anaquin y Mendoza,06.30 a 12.30hs,Ver en mapa
Formosa,Las Lomitas,Las Lomitas,9 de Julio 140,06.30 a 12.30hs,Ver en mapa
Jujuy,Abra Pampa,Abra Pampa,Gob. Tello y J.D. Perón,08.00 a 14.00hs,Ver en mapa
Jujuy,Humahuaca,Humahuaca,Buenos Aires 630 PB,08.00 a 14.00hs,Ver en mapa
Jujuy,Jujuy,Monterrico,Av. 9 de Julio y 23 de Agosto,08.00 a 14.00hs,Ver en mapa
Jujuy,La Quiaca,La Quiaca,Rivadavia S/N (Edificio Municipal),08.00 a 14.00hs,Ver en mapa
Jujuy,Libertador General San Martín,Libertador Gral. San Martín,Independencia 272,08.00 a 14.00hs,Ver en mapa
